OBJECTID,INCKEY,COLDETKEY,ADDRTYPE,COLLISIONTYPE,DISTANCE,EXCEPTRSNCODE,EXCEPTRSNDESC,FATALITIES,INATTENTIONIND,INCDATE,INCDTTM,INJURIES,INTKEY,JUNCTIONTYPE,LIGHTCOND,Lightcode,LOCATION,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,REPORTNO,ROADCOND,roadcode,SDOT_COLCODE,SDOT_COLDESC,SDOTCOLNUM,SEGKEY,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,ST_COLCODE,ST_COLDESC,STATUS,UNDERINFL,VEHCOUNT,WEATHER,Shape,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO
17,112622,112622,Intersection,Cycles,0,,,0,,10/14/2010 12:00:00 AM +0000,10/14/2010 11:35,1,25463,At Intersection (intersection related),Daylight,3,LEARY WAY NW AND NW BALLARD WAY,0,1,Y,2,3565412,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10287037,8565,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.66293721900007, -122.36860020099999 ",17333,0,N,10 359621
139,114672,114672,Block,Cycles,127.5,,,0,Y,05/16/2010 12:00:00 AM +0000,5/16/2010 18:42,1,,Mid-Block (not related to intersection),Daylight,3,NE 65TH ST BETWEEN LATONA E AVE NE AND 4TH AVE NE,0,1,,2,3377336,Dry,1,56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,10136003,17251,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.675898483000026, -122.32492069599999 ",6651,0,N,2010-160863
140,115076,115076,Intersection,Cycles,0,,,0,,02/27/2010 12:00:00 AM +0000,2/27/2010 13:53,1,36061,At Intersection (intersection related),Daylight,3,28TH AVE NE AND NE 127TH ST,0,1,Y,2,3206545,Wet,2,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10058001,4127,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.72110162300004, -122.29772082 ",0,0,N,10-66226
172,115502,115502,Intersection,Cycles,0,,,0,,10/16/2010 12:00:00 AM +0000,10/16/2010 14:21,1,32410,At Intersection (intersection related),Daylight,3,RAINIER AVE S AND S BYRON ST,0,1,,3,3387369,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10289033,12372,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.57394302500006, -122.29478739999996 ",0,0,N,10 362374
182,115496,115496,Intersection,Cycles,0,,,0,,06/06/2010 12:00:00 AM +0000,6/6/2010 0:46,1,29556,At Intersection (intersection related),Dark - Street Lights On,1,5TH AVE AND STEWART ST,0,1,,2,3208045,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10157006,7242,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61295826700007, -122.33787347699996 ",36167,0,N,10-189329
184,116038,116038,Intersection,Cycles,0, ,,0,,07/11/2010 12:00:00 AM +0000,7/11/2010 14:41,1,30385,At Intersection (intersection related),Daylight,3,ALASKAN WAY S AND S ATLANTIC ST,0,1,Y,2,3346273,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10192013,8742,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.59073208500007, -122.33733580199998 ",0,524988,N,2010-238048
216,116180,116180,Block,Cycles,396.5,,,0,,04/21/2010 12:00:00 AM +0000,4/21/2010 11:12,1,,Driveway Junction,Daylight,3,STONE WAY N BETWEEN N 36TH ST AND N 38TH ST,0,1,Y,2,3333147,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10111008,12957,0,2,Injury Collision,Y,45,Bicycle,Matched,N,1,Raining," 47.651618651000035, -122.342626914 ",6292,0,N,10-129768
226,116460,116460,Intersection,Cycles,0,,,0,,10/19/2010 12:00:00 AM +0000,10/19/2010 16:43,1,31153,At Intersection (intersection related),Daylight,3,45TH AVE SW AND SW ADMIRAL WAY,0,1,,2,3331409,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10292029,6844,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.58119150400006, -122.38923919099994 ",0,0,N,10-365952
281,115643,115643,Intersection,Cycles,0, ,,0,,04/30/2010 12:00:00 AM +0000,4/30/2010 10:17,1,486565,At Intersection (intersection related),Daylight,3,M L KING JR ER WAY S AND S MYRTLE ST,0,1,,2,3383989,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10120003,20915,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.53888841200006, -122.28198839999999 ",0,525621,N,2010-140403
348,114272,114272,Intersection,Cycles,0, ,,0,,09/10/2010 12:00:00 AM +0000,9/10/2010 23:21,1,29969,At Intersection (intersection related),Dark - Street Lights On,1,2ND AVE AND COLUMBIA ST,0,1,,4,3345680,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10253022,2751,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.60373279300006, -122.33382457199997 ",12041,0,N,10-318103
349,114554,114554,Intersection,Cycles,0, ,,0,,08/19/2010 12:00:00 AM +0000,8/19/2010 17:13,1,29563,At Intersection (intersection related),Daylight,3,3RD AVE AND VIRGINIA ST,0,1,Y,2,3373626,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10231010,4387,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61239802600005, -122.34089245499996 ",34736,0,N,10-289985
411,115370,115370,Block,Cycles,266,,,0,,08/30/2010 12:00:00 AM +0000,8/30/2010 5:55,1,,Mid-Block (not related to intersection),Dawn,2,AIRPORT WAY S BETWEEN S INDUSTRIAL EB WAY AND S OREGON ST,0,1,Y,2,3373956,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10242026,8684,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.563791965000064, -122.32286846799997 ",17554,0,N,10 302976
